"id";"timestamp";"activity"
"1";"01-01-1970 01:06:11.700";"y-S1_0"
"1";"01-01-1970 01:06:13.000";"y-S2_0"
"62";"01-01-1970 01:06:13.500";"IN_1_3-x"
"48";"01-01-1970 01:06:14.300";"IN_7_3-y"
"1";"01-01-1970 01:06:14.300";"y-S3_0"
"1";"01-01-1970 01:06:15.600";"y-S4_0"
"62";"01-01-1970 01:06:15.600";"IN_2_3-x"
"11";"01-01-1970 01:06:15.800";"IN_7_3-y"
"0";"01-01-1970 01:06:15.900";"IN_5_3-x"
"51";"01-01-1970 01:06:17.300";"IN_7_3-y"
"62";"01-01-1970 01:06:18.600";"IN_3_3-x"
"23";"01-01-1970 01:06:19.200";"z-x"
"49";"01-01-1970 01:06:20.200";"IN_7_3-y"
"65";"01-01-1970 01:06:20.400";"IN_3_3-x"
"62";"01-01-1970 01:06:20.800";"IN_4_3-x"
"44";"01-01-1970 01:06:21.300";"y-S1_0"
"66";"01-01-1970 01:06:22.000";"IN_7_3-y"
"65";"01-01-1970 01:06:22.500";"IN_4_3-x"
"0";"01-01-1970 01:06:23.400";"IN_6_3-x"
"63";"01-01-1970 01:06:24.200";"IN_4_3-x"
"42";"01-01-1970 01:06:24.400";"y-S1_0"
"64";"01-01-1970 01:06:25.100";"IN_6_3-x"
"41";"01-01-1970 01:06:27.400";"y-S1_0"
"23";"01-01-1970 01:06:28.000";"IN_1_3-x"
"9";"01-01-1970 01:06:28.200";"IN_5_3-x"
"54";"01-01-1970 01:06:29.000";"y-S1_0"
"18";"01-01-1970 01:06:29.600";"IN_5_3-x"
"23";"01-01-1970 01:06:30.200";"IN_2_3-x"
"54";"01-01-1970 01:06:30.300";"y-S2_0"
"76";"01-01-1970 01:06:30.500";"IN_1_0"
"74";"01-01-1970 01:06:30.500";"IN_2_0"
"72";"01-01-1970 01:06:30.500";"IN_3_0"
"70";"01-01-1970 01:06:30.500";"IN_4_0"
"75";"01-01-1970 01:06:30.500";"IN_5_0"
"71";"01-01-1970 01:06:30.500";"IN_6_0"
"73";"01-01-1970 01:06:30.500";"IN_7_0"
"59";"01-01-1970 01:06:30.700";"y-S1_0"
"58";"01-01-1970 01:06:31.200";"IN_5_3-x"
"32";"01-01-1970 01:06:32.900";"IN_2_3-x"
"23";"01-01-1970 01:06:33.200";"IN_3_3-x"
"56";"01-01-1970 01:06:34.300";"IN_5_3-x"
"0";"01-01-1970 01:06:35.000";"IN_7_3-y"
"23";"01-01-1970 01:06:35.400";"IN_4_3-x"
"9";"01-01-1970 01:06:35.700";"IN_6_3-x"
"32";"01-01-1970 01:06:35.800";"IN_3_3-x"
"64";"01-01-1970 01:06:36.600";"IN_7_3-y"
"22";"01-01-1970 01:06:36.600";"IN_5_3-x"
"18";"01-01-1970 01:06:37.100";"IN_6_3-x"
"32";"01-01-1970 01:06:38.000";"IN_4_3-x"
"68";"01-01-1970 01:06:38.300";"IN_5_3-x"
"58";"01-01-1970 01:06:38.700";"IN_6_3-x"
"40";"01-01-1970 01:06:39.400";"z-x"
"4";"01-01-1970 01:06:40.600";"y-S1_0"
"45";"01-01-1970 01:06:41.600";"z-x"
"56";"01-01-1970 01:06:41.800";"IN_6_3-x"
